A-(1)	"ئەی"
scroll-down	داکێشان، پێچۆکەداکێشان
scroll-left	١ـ چەپڕۆییی پێچۆکە (جووڵانی ئاسۆییی پەردەپیشان بەشێوەی پێچۆکەیەک بۆ لای چەپ) ٢ـ بۆ لای چەپ ڕۆیشتنی پێچۆکە ٣ـ بۆ لای چەپ بردنی پێچۆکە)
scroll-right	١ـ ڕاستڕۆییی پێچۆکە (جووڵانی ئاسۆییی پەردەپیشان بەشێوەی پێچۆکەیەک بۆ لای ڕاست) ٢ـ بۆ لای ڕاست ڕۆیشتنی پێچۆکە ٣ـ بۆ لای ڕاست بردنی پێچۆکە
scroll-up	هەڵکێشان، پێچۆکەهەڵکێشان
scrollning	پێچۆکەگەری، بەپێچۆکەپیشاندان
scrub	خاوێنگەرییی بیرگە
SCSI	(SCSI)، "سکازی"
search	گەڕان، پشکنین
search-engine	مەکینەی پشکنەر، ماتۆڕی پشکنەر، نەرمەواڵەی پشکنەر
searcher	پشکنەر، گەڕانکار، بگەڕ
section	بەش، کەرت
security	پاراستن
seed	تۆو، تۆوكردن، چاندن
selection	دیاریكردن
selsyn	"سێلسین"
send	ناردن
sensor	هەستەوەر
sequence	ڕیزه، زنجیره
serial	زنجیرەبەست، زنجیرەیی
series	زنجیرە
server	ڕاژەكار
service	ڕاژه
session-(1)	خولێکی کاری، دانیشتن، کۆڕ
session-(2)	کۆڕی وانە، وانەکۆڕ، پۆل
setting	ڕێکخستن
settings	ڕێکخستنەکان
setup	جێگیركردن
shape	شێوە، شێواز
share-(1)	١ـ بەش، پشک، بەرکەوت ٢ـ بەشکردن، دابەشکردن ٣ـ هاوبەشیکردن، بەشکردن لەگەڵدا
SHARE-(2)	"شەیر"
shareware	هاوبەشەواڵە، دابەشەواڵە
shareware/freeware	هاوبەشەواڵە/ خۆڕاییواڵە
sheet	پەڕە
shell-(1)	چوونەدەرەوە بۆ سیستەم، "شێڵ"
shell-(2)	١ـ توێکڵ ٢ـ قاوغ
shell-script	نووسینە (سکریپت)ی "شێڵ"
shift-(1)	١ـ شوێنگۆڕین، گواستنەوە ٢ـ شوێنگواستنەوە، شوێنگۆڕان
shift-(2)	گۆڕەر
SHIFT-(3)	"شیفت"
shift-(4)	نۆرەی کاری، نۆرەکار‌، شیفت
short	كورت
shortcut	قەدبڕ
sign-in	واژۆكردن
signature	واژۆ
site	شوێن، جێ، پێگە، بنکە
skin	پێست
slash	لارەهیڵ
slice	پارچه،‌ قاژ، كەرت
slide	سلاید
slide-layout	گەڵاڵەبەندیی سلاید
slot	قڵیش
socket	پێكەوەبەست
software	نەر‌مەواڵە، نەرمەئامێر‌، كاڵانەرم
software-platform	سەکۆی نەرمەواڵە، سەکۆی نەرمەکاڵا
sound-card	كارتی دەنگ
source	سەرچاوە
space	بۆشایی
spacebar	نێوانتووڵ
spam	پۆستی نەخوازراو
spoof(ed)-web-site	وێبگەی ساخته
spool	نۆرە
spyware	سیخوڕیواڵە، پرۆگرامی سیخوڕی
SQL	(SQL)، "سیكوێڵ"
SSH	ئێس‌ئێس‌ئێچ
standalone	سەربەخۆ
standard	ئاسایی، پێوانە، نموونەیی، ستاندارد
start	دەستپێكردن، دەستپێك
startpage	دەستپێك ـ لاپەڕەی دەستپێك
stationary	جێگیر
statistics	سەرژمێری
status	ئاست، دۆخ
storage-(1)	بیرگە
storage-(2)	بیرگەی یاریدە
storage-(3)	بیرگەی سەرەکی
storage-(4)	پاشەکەوت، پاشەکەوتگەری
store	كۆگا، كۆگاكردن
storekeeping	كۆگا
story-board	پێگەی كاركردن
stream	تەوژم
string	ڕیزبەند، زنجیرەنووسە
strobe	تیشک، تیسک، ترووسک، ڕووناکی، پرشنگ
structure	پێكهاتە
style	شێواز
sub-	"ژێر-"
subnet-(=-subnetwork)	(subnet)، ژێرڕایەڵە
subnet-mask	(subnet mask)، پۆششی ژێرڕایەڵە
subscribe	بەشداربوون
support	پاڵپشتکردن، پاڵپشتیکردن، پشتیوانی
surfing	وێبگەردی، وێبگەڕی
switch	کلیل، سویچ
symbol	نیشانە ، هێما
SYN-(1)	سین، پارچەی هاوکاتگەر
SYN-(2)	سین، نووسەی هاوکاتگەر
SYN-(3)	سین، بەتاڵیی هاوکاتگەر
SYN-character-	بنواڕە synchronous idle character
sync	هاوکاتگەری
sync-bit	بیتی هاوکاتگەری
synchro-(1)	هاوکاتگەر، هاودەمگەر، "سەنکرۆ"
synchro-(2)	"هاوکات ـ"
synchronise-	بنواڕە synchronize
synchronism	هاوکاتی، هاودەمی، هاوهەنگاوی
synchronization-(1)	هاوکاتی، هاودەمی
synchronization-(2)	هاوکاتگەری، هاوکاتسازی
synchronization-bit	بیتی هاوکاتگەری
synchronization-character-	نووسەی هاوکاتگەری
synchronization-field	بواری هاوکاتگەری
synchronization-pattern	شێوەئاسای هاوکاتگەری
synchronization-pulse-	پرتەی هاوکاتگەری
synchronize	هاوکاتکردن، هاودەمکردن، هاوهەنگاوکردن
synchronized	هاوکات، هاودەم
synchronizer	هاوکاتگەر
synchronizing	١ـ هاوکاتگەری (ناو) ٢ـ هاوکاتگەر، هاوکاتساز (ئاوەڵناو)
synchronizing-character-	بنواڕە SYN
synchronizing-signal	نیشانەی هاوکاتگەر
synchronous	هاوکات، هاودەم
synchronous-idle-character-	نووسەی بەتاڵی هاوکاتگەری، نووسەی بێکاروئیشیی هاوکات
syntax	ڕستەكار، داڕستن
system	سیستەم
scriptwriter	نووسەر
scroll	١ـ کێشان ٢ـ پێچۆکە ٣ـ پێچۆکەنواندن، پێچۆکەنوێنی ٤ـ پێچۆکەگەری
scroll-arrow	تیرەپێچۆکە
scroll-bar	تووڵەكێشان، تووڵەپێچۆکە، تووڵەپێچۆکەدان
scroll-buffer	نێوانگری پێچۆکە
scroll-down	داکێشان، پێچۆکەداکێشان
scroll-left	١ـ چەپڕۆییی پێچۆکە (جووڵانی ئاسۆییی پەردەپیشان بەشێوەی پێچۆکەیەک بۆ لای چەپ) ٢ـ بۆ لای چەپ ڕۆیشتنی پێچۆکە ٣ـ بۆ لای چەپ بردنی پێچۆکە)
scroll-right	١ـ ڕاستڕۆییی پێچۆکە (جووڵانی ئاسۆییی پەردەپیشان بەشێوەی پێچۆکەیەک بۆ لای ڕاست) ٢ـ بۆ لای ڕاست ڕۆیشتنی پێچۆکە ٣ـ بۆ لای ڕاست بردنی پێچۆکە
scroll-up	هەڵکێشان، پێچۆکەهەڵکێشان
scrollning	پێچۆکەگەری، بەپێچۆکەپیشاندان
scrub	خاوێنگەرییی بیرگە
SCSI	(SCSI)، "سکازی"
search	گەڕان، پشکنین
search-engine	مەکینەی پشکنەر، ماتۆڕی پشکنەر، نەرمەواڵەی پشکنەر
searcher	پشکنەر، گەڕانکار، بگەڕ
tab-(1)	سەرخشتە، "تاب"
tab-(2)	بازدان، بازپێدان، پەڕاندن، خشتاندن، جووڵەکردن لە خشتەدا
tab-(3)	١ـ کلیلی خشتەبەندی ٢ـ لێدانی کلیلی خشتەبەندی
tab-(4)	زمانە، گوێچکەکارت
Tab-key	بازدەر، دوگمەی تاب
tabbing	١ـ خشتەبەندی ٢ـ لێدانی کلیلی خشتەبەندی، بازدان، بازپێدان
table	خشتە
tag	تاگ
tape	شریت، نەوار - تۆماركردن لەسەر شریت (نەوار)
target	مەبەست، ئامانج
task	كار، ئەرك
TCP-	تی‌سی‌پی، پرۆتۆكۆلی کۆنترۆڵی ناردن، کۆنووسی کۆنترۆڵی ناردن
TCP/IP	(TCP/IP)، تی‌سی‌پی‌/ ئای‌پی، پرۆتۆکۆڵی کۆنترۆڵی ناردن/ ‌‌پرۆتۆکۆڵی ئینتەرنێت
TCP/IP-Protocol-Family	بنەماڵەی پرۆتۆکۆڵەکانی تی‌سی‌پی/‌ ئای‌پی
technology	تەكنۆلۆژیا، تێکنۆڵۆجی، تەكنیكزانی، پیشەزانی
tele-education	دوورەفێركاری
telework-	دووركاری
telework-center	بنكەی دووركاری، ناوەندی دوورکاری
telex-	تێلێکس، تەلەفۆنی دەقی، دەقەتەلەفۆن
Telnet	(Telnet)، تێل‌نێت
template	داڕێژە
temporary	كاتی
terminal	تێرمیناڵ، کۆتاگە
terminate	كۆتاییپێهێنان
text	دەق
text-processing	دەقڕێکخەری، دەقکاری
text-processor	دەقڕێکخەر، دەقکار
Text-String	دەقەڕیزبەند
texture	چنین، ڕستن
TFT	(TFT)، تی‌ئێف‌تی
theme	١ـ باس، سەرباس، بابەت ٢ـ وتار ٣ـ ئاواز
Time-to-live-	کاتی ژیان، کات‌-بۆ-ژیان
timeline	كاتهێڵ
tips	ڕێنیشاندان، ڕوونكردنەوە
title	سەردێڕ
toggle	toggle، زامن
tool	ئامراز
toolbar	تووڵامراز، میلامراز
top	لووتكە، سەرتۆپ
topic	بابەت
topology	تۆپۆلۆژی، شێوەناسی
touch	ساو، ساوان، دەستلێدان
touch-mobile	ساوموبایل
touch-screen	ساوپەردە
track-(1)	١ـ شەقار (لە دیسکدا)، لێوارە‌ (لە شیریتدا) ٢ـ شوێنپێ ٣ـ شوێنکەوتن، سۆراخکردن
track-(2)	"ترەک"، "تراک"
track-address	ناونیشانی شەقار
trackback	ڕێباز، ڕێچكە
trackball-(=-track-ball)	گۆسووڕ
transaction	ڕێككەوتن، گواستنەوە
transfer	گواستنەوە
transform	گۆڕین
transmission	ناردن
transparent	ڕوون، ڕۆشن، پاشبین
trick	فێڵ، تەڵە
tridimensional-	سێلایی
Trojan-horse	ئەسپی ترووجان
TTL-(2)	(TTL)، تی‌تی‌ئێڵ
type	١ـ جۆر ٢ـ چاپكردن
tele-education	دوورەفێركاری
telework-	دووركاری
telework-center	بنكەی دووركاری، ناوەندی دوورکاری
telex-	تێلێکس، تەلەفۆنی دەقی، دەقەتەلەفۆن
Telnet	(Telnet)، تێل‌نێت
template	داڕێژە
temporary	كاتی
terminal	تێرمیناڵ، کۆتاگە
terminate	كۆتاییپێهێنان
text	دەق
text-processing	دەقڕێکخەری، دەقکاری
text-processor	دەقڕێکخەر، دەقکار
Text-String	دەقەڕیزبەند
texture	چنین، ڕستن
TFT	(TFT)، تی‌ئێف‌تی
Ubuntu	ئوبونتوو
UCP-(1)	"یووسی‌پی"، کۆنووسی گشتیی کۆمپیوتەر، کۆنووسی جیهانیی کۆمپیوتەر
UCP-(2)	"یووسی‌پی‌"، کۆنووسی لەبەرگرتنەوەی یونیکس-بۆ یونیکس
UDA	"یوودی‌ئەی"، دەستپێگەیشتنی دراوەی جیهانی
UDF	"یوودی‌ئێف"، فۆرماتی جیهانیی دیسک
UDMA	(UDMA)، "یوودی‌ئێم‌ئەی"
UDO	"یوودی‌ئەو"، ڕووناکیی لەژوورچڕی
UDP	"یوودی‌پی"، کۆنووسی داتاگرامی بەکارهێنەر
UHF	"یووئێچ‌ئێف"، لەرەی لەژووربەرز
UI	"یووئای"، ناوبەستی بەکارهێنەر، نێوانەڕووی بەکارهێنەر
UIML	"یووئای‌ئێم‌ئێڵ"، زمانی هێمادانانی ناوبەستی بەکارهێنەر
ultra-	لەولا، لەژوور، لەوپەڕ
UML-(1)	(UML)، "یووئێم‌ئێڵ" زمانی یەکگرتووی مۆدێلدانان
UML-(2)	(UML)، "یووئێم‌ئێڵ"
UMS	(UMS)، "یووئێم‌ئێس"
UMTS	(UMTS)، "یووئێم‌تی‌ئێس"، سیستەمی پێوەندیی بێتەلی گەڕۆکی جیهانی
unary	یەكانی
UNC	پەیمانی ناونانی جیهانی
underscore	بنهێڵ
undo	پووچکردنەوە، هەڵوەشاندنەوە، سڕینەوە
undo-buffer	نێوانگری پووچکردنەوە
undo-disk	پەپکەی پووچکردنەوە، دیسکی پووچکردنەوە
Unicast	یونیكەست
Unicode	یونیكۆد
Unified-Modeling-Language-	زمانی یەكگرتووی مۆدێلدانان
uninstall	دامەزرانسڕی، دامەزرانسڕینەوە، هەڵوەشاندنەوە
union	یەکێتی
unique	بێهاوتا، بێوێنە
unit	یەكە
Universal-Naming-Convention-	پەیمانی ناونانی جیهانی
UNIX	یونیكس
unmute	نەکپاندن، کپنەکردن، دەنگبەردان
unsigned	بێنیشانه، بێهێما
up-time-(=-uptime)	کاتی کردنەوە، کاتی چالاکی
update	نوێكردنەوە، ئەمڕۆژیكردن، بەڕۆژکردن
upgrade	بەرزكردنەوە
uplink	باركردن، سەرخستن
upload	باركردن
UPnP	(UPnP)، پێوەکردن و لێدانی جیهانی
UPS	(UPS)، سەرچاوە ئازووقەی بێپچڕان
upstream	سەرخستن، ڕەوتی بەرەوبان، ڕەوتی بەرەوسەر، ڕەوتی بەرەوژوور، ڕەوتبان، ڕەوتسەر
URI-	(URI)، "یووئارئای"، ناسێنەری سەرچاوەی چوونیەک‌
URL	(URL)، ئرڵ، یووئارئێڵ، شوێندۆزی سەرچاوەی جیهانی
USB	(USB)، یوو‌ئێس‌بی، تێپەڕگەی زنجیرەبەستی گشتی
User	بەكارهێنەر
user-ID	پێناسەی بەكارهێنەر، ناسنامەی بەكارهێنەر
user-name	ناوی بەكارهێنەر
user-friendly	بەكارهێنەرپەسەن
USSD	(USSD)، "یووئێس‌ئێس‌دی"، ڕاژە دراوەی پاشکۆییی ناڕێکپێکهاتوو
utility	بەكەڵك، سوودمەند، سوودمەندی
UTP	(UTP)، "یووتی‌پی"، جووتەکێبڵی بادراوی بێپۆشەر
UMTS	(UMTS)، "یووئێم‌تی‌ئێس"، سیستەمی پێوەندیی بێتەلی گەڕۆکی جیهانی
unary	یەكانی
UNC	پەیمانی ناونانی جیهانی
underscore	بنهێڵ
undo	پووچکردنەوە، هەڵوەشاندنەوە، سڕینەوە
undo-buffer	نێوانگری پووچکردنەوە
undo-disk	پەپکەی پووچکردنەوە، دیسکی پووچکردنەوە
Unicast	یونیكەست
Unicode	یونیكۆد
Unified-Modeling-Language-	زمانی یەكگرتووی مۆدێلدانان
uninstall	دامەزرانسڕی، دامەزرانسڕینەوە، هەڵوەشاندنەوە
union	یەکێتی
unique	بێهاوتا، بێوێنە
unit	یەكە
Universal-Naming-Convention-	پەیمانی ناونانی جیهانی
value	نرخ
variable	گۆڕاو
VBS	بنواڕە Visual Basic Script
VCD	(VCD)، دیسکی پەستاوتەی ڤیدیۆ
vector	ئاراستەبڕ
vendor	فرۆشیار
verbose	درێژە
verify	١ـ سەلماندن، بەڵگەبۆهێنانەوە ٢ـ ساغکردنەوە (ڕاستیی شتێک)
version	وەشان
video	١ـ ڕەنگی، وێنەیی، ڤیدیۆ ٢ـ ڕەنگ، وێنە، ڤیدیۆ
view	بینین، پیشاندان
virtual	گریمانە، گریمانەکی
virtual-private-network-	گریمانە ڕایەڵەی خۆیی، ڕایەڵەی خۆییی گریمانەکی
virus	ڤایرۆس
visual	بینراو، دیدەیی، دیدەنی، دیداری
Visual-Basic-	ڤیژواڵ بەیسیك، بەیسیکی دیدەیی
Visual-Basic-Script-	ڤیژواڵ بەیسیك سكریپت، سکریپتی بەیسیکی دیدەیی
VLAN	(VLAN)، "ڤی‌لان"
voice	دەنگ
Voice-Card	کارتی دەنگ
VOIP	گواستنەوەی دەنگ لە ڕێگەی (IP)ەوه
volume	پلەی دەنگ، قەبارە، بەرگ
vulnerable	بەرگەنەگر
virus	ڤایرۆس
visual	بینراو، دیدەیی، دیدەنی، دیداری
Visual-Basic-	ڤیژواڵ بەیسیك، بەیسیکی دیدەیی
Visual-Basic-Script-	ڤیژواڵ بەیسیك سكریپت، سکریپتی بەیسیکی دیدەیی
VLAN	(VLAN)، "ڤی‌لان"
voice	دەنگ
Voice-Card	کارتی دەنگ
VOIP	گواستنەوەی دەنگ لە ڕێگەی (IP)ەوه
volume	پلەی دەنگ، قەبارە، بەرگ
vulnerable	بەرگەنەگر
WAN-	(WAN)، ڕایەڵەی ڕووبەربڵاو
wap-(1)	(wap)، "واپ"، پرۆتۆکۆلی بەکاربەریی بێتەل
wap-(2)	(wap)، "واپ"، خاڵی دەستپێگەیشتنی بێتەل
ware	واڵە، ئامێر، کاڵا
Warez	(warez)، "وەیرز"، "وارێز"
watchdog	پارێزەر، پاسەوان، سەگی پاسەوان
watchdog-timer-	کاتپێوی پاسەوان
wav	(wav, wave)، "واڤ، وەیڤ"
wave-(1)	شەپۆل
web	وێب
web-browser	وێبگەڕ
web-page	وێبپەڕ
webcam	وێبكام
Webcast	پەخشی وێب
Webcasting	وێبپەخشی
WebDAV	(WebDAV)، "وێب‌داڤ"
weblog	وێبلۆگ
webmaster	وێبداڕێژ، وێبکار، وێبگەر، بەرپرسی وێب
webserver	ڕاژەكاری وێب، وێبڕاژەكار
website	وێبگە
whois	(whois)، "هووئیز"
wideband	پانەباند
widget	"ویجیت"
window	پەنجەرە، دەلاقە
window-driven-interface	ناوبەستی پەنجەرەئاژۆ، ناوبەستی وێنۆچکەئاژۆ
Windows	"ویندۆز"، ویندۆز مایکرۆسۆفت، "ئێم‌ئێس‌ویندۆز"
WINS	(WINS)، "وینس"، "وینز"، ڕاژەی ناونانی ئینتەرنێتی ویندۆز
Winsock-	(Winsock)، "وین‌سوک"
wireless	بێسیم، بێتەل
wizard-(1)	فێرکار، ئامۆژگار، بلیمەت، شارەزا، "مامۆستا"، جادووگەر، "ویزارد"
wizard-(2)	"ویزارد"، مامۆستا
WLAN	(WLAN)، "لان"ی بێتەل
Word	پرۆگرامی وۆرد
word-processing	وشەڕێکخەری
word-processor	وشەڕێکخەر
workstation	وێستگەی كار
World-Wide-Web-	(www)، "ووو"، "وێب"، وێبی جیهان‌بەرین، جیهانی وێب
writable	شیاوی خوێندن، خوێندەنی
WYSBYGI	(WYSBYGI)، "ویزبی‌گی"
WYSIWYG-	(wysiwyg)، "ویزی‌ویگ"
Webcasting	وێبپەخشی
WebDAV	(WebDAV)، "وێب‌داڤ"
weblog	وێبلۆگ
webmaster	وێبداڕێژ، وێبکار، وێبگەر، بەرپرسی وێب
webserver	ڕاژەكاری وێب، وێبڕاژەكار
website	وێبگە
whois	(whois)، "هووئیز"
wideband	پانەباند
widget	"ویجیت"
window	پەنجەرە، دەلاقە
window-driven-interface	ناوبەستی پەنجەرەئاژۆ، ناوبەستی وێنۆچکەئاژۆ
Windows	"ویندۆز"، ویندۆز مایکرۆسۆفت، "ئێم‌ئێس‌ویندۆز"
WINS	(WINS)، "وینس"، "وینز"، ڕاژەی ناونانی ئینتەرنێتی ویندۆز
Winsock-	(Winsock)، "وین‌سوک"
wireless	بێسیم، بێتەل
X.21	ئیکس-٢١
X.25-	ئیکس-٢٥
X.400-	ئیکس-٤٠٠
X.500	ئیکس-٥٠٠
X.75	ئیکس‌-٧٥
x86	(x86)، ئیکس٨٦
xclient	(xclient)
XDSL	(XDSL)، "ئێکس‌دی‌ئێس‌ئێڵ"
Xenix	سیستەمی كارپێكردنی "كسێنیكس"
XHTML	(XHTML)، "ئێکس‌ئێچ‌تی‌ئێم‌ئێڵ" زمانی هێمادانانی سەروودەقی پەرەسەندنێتی
XML	(XML)، "ئێکس‌ئێم‌ئێڵ"، زمانی هێمادانانی پەرەسەندنێتی
Xmodem	"ئێکس-مۆدێم"
XOR	(XOR)، "ئێکس-ئۆر"
XPath	(XPath)
XQuery	(XQuery)
xserver	(xserver)
XSL	(XSL)، "ئێکس‌ئێس‌ئێڵ"، زمانی شێوازەپەڕەی پەرەسەندنێتی
xserver	(xserver)
XSL	(XSL)، "ئێکس‌ئێس‌ئێڵ"، زمانی شێوازەپەڕەی پەرەسەندنێتی
Y2K	"وای-توو-کەی"، "وای‌توو‌کەی" (ساڵی ٢٠٠٠)
YaST	(YaST)
Ymodem	(Ymodem)
ypserver	ypserver
yy	yy
z-axis	تەوەرەی "زد"
z-coordinate	تانوپۆی "زد"
Z80	زد-هەشتا
Z8000	زد-هەشت هەزار
zap	سڕینەوە
Zapf-Chancery	"زەپف چانسری"
zero	سفر
zero-condition-	دۆخی سفر
zero-element	توخمی سفر
zero-flag	نیشانەنوێنی سفر
zero-insertion-force-	تەوژمی دامەزراندنی سفر، "زیف"
zero-access-stroage	بیرگەی سفر-‌دەستپێگەیشتن
zero-address	بێناونیشان، سفرناونیشان
zero-addressed	سفرناونیشانی
zero-addressed-machine	مەکینەی سفرناونیشانی
zero-crossing	لە سفرپەڕینەوە
zero-insertion-force-	بێنیاز-لە-تەوژمی "زیف"
zero-level-classification	پۆل‌پۆلکردنی ئاستی سفر
zerodivide-	دابەشبوون بە سفر
zerofill-	پڕکردنەوە بە سفر
zeroization	سفراندن، سفرگەری، سفرسازی
zerolevel	ئاستی سفر، ئاستسفر
zetetics	زانستناسی، زانستزانی، زێتێتیک
ZIF-socket	پایەگری زیف، پایەگری پێویستنەبووی تەوژم
zine	"زین"، گۆڤاری ئەلەکترۆنی
zip	زیپ، پەستاندن
Zmodem	Zmodem
zone	ناوچە
zone-bit	بیتی ناوچە
ZOO	جۆرە درێژکراوەیەکی پەڕگە
zoom	زووم، وردبیندانان
zoom-in	زوومکردنی زێدەیی
zoom-out	زوومکردنی ڕۆچوونی
zoomable	زوومکردەنی
zooming	گەورەنوێنی، زوومگەری، وردبیندانان
Zope	Zope
ZV-Port	(ZV-Port)
zero-crossing	لە سفرپەڕینەوە
zero-insertion-force-	بێنیاز-لە-تەوژمی "زیف"
zero-level-classification	پۆل‌پۆلکردنی ئاستی سفر
zerodivide-	دابەشبوون بە سفر
zerofill-	پڕکردنەوە بە سفر
zeroization	سفراندن، سفرگەری، سفرسازی
zerolevel	ئاستی سفر، ئاستسفر
zetetics	زانستناسی، زانستزانی، زێتێتیک
ZIF-socket	پایەگری زیف، پایەگری پێویستنەبووی تەوژم
zine	"زین"، گۆڤاری ئەلەکترۆنی
zip	زیپ، پەستاندن
Zmodem	Zmodem
zone	ناوچە
zone-bit	بیتی ناوچە
ZOO	جۆرە درێژکراوەیەکی پەڕگە
